PARID,CHANGENOTICEADDRESS1
0026G00104000000,414 GRANT ST RM 200
0026G00105000000,414 GRANT ST RM 200
0026G00107000000,5170 BUTLER ST 
0026G00107000100,414 GRANT ST RM 200
0026G00108000000,3635 BETHOVEN ST 
0026G00109000000,3633 BETHOVEN ST 
0026G00110000000,3602 BETHOVEN ST 
0026G00111000000,3604 BETHOVEN ST 
0026G00112000000,3606 BETHOVEN ST UNIT 2
0026G00113000000,3606 BETHOVEN ST UNIT 2
0026G00118000000,414 GRANT ST RM 200
0026G00122000000,414 GRANT ST RM 200
0026G00123000000,414 GRANT ST RM 200
0026G00124000000,414 GRANT ST RM 200
0026G00125000000,414 GRANT ST RM 200
0026G00126000000,414 GRANT ST RM 200
0026G00127000000,414 GRANT ST RM 200
0026G00128000000,414 GRANT ST RM 200
0026G00129000000,414 GRANT ST RM 200
0026G00131000000,414 GRANT ST RM 200
0026G00140000001,414 GRANT ST RM 200
0026G00140000002,414 GRANT ST RM 200
0026G00145000000,414 GRANT ST RM 200
0026G00150000000,414 GRANT ST RM 200
0026G00162000000,643 MELWOOD AVE 
0026G00163000000,643 MELWOOD AVE 
0026G00164000000,643 MELWOOD AVE 
0026G00166000000,641 MELWOOD AVE 
0026G00168000000,637 MELWOOD AVE 
0026G00169000000,635 MELWOOD AVE 
0026G00170000000,633 MELWOOD AVE 
0026G00171000000,631 MELWOOD AVE 
0026G00172000000,627 MELWOOD AVE 
0026G00173000000,643 MELWOOD AVE 
0026G00174000000,428 BLVD OF THE ALLIES 
0026G00175000000,623 MELWOOD AVE 
0026G00176000000,827 GREENFIELD AVE 
0026G00178000000,619 MELWOOD AVE 
0026G00186000000,414 GRANT ST RM 200
0026G00192000000,610 MELWOOD AVE 
0026G00230000000,542 FORBES AVE RM 347
0026G00231000000,110 FRANKLIN RD SE 
0026G00234000000,414 GRANT ST RM 200
0026G00235000900,110 FRANKLIN RD SE 
